farmer.name,species,initial_height_cm,initial_rcd_mm,days_interval,m1_height_cm,m1_rcd_mm,m1_width_cm,m1_health_score,survival_status
c,8,53,30.7,124,20,21.9,8,2,alive
a,8,46,25,124,21,33.7,110,2.5,alive
c,7,47,24.3,124,172,32.3,97,2.5,alive
a,4,48,13.7,124,72,21.2,66,2.5,alive
c,1,43,12.1,124,38,7.9,7,1.5,alive
c,8,42,11.9,124,47,12.6,46,2.5,alive
a,5,32,11.7,124,33,9.4,47,1.5,alive
b,8,55,11.3,124,0,0,0,0,dead
a,4,58,11.1,124,51,17.1,56,2.5,alive
a,13,47,11.1,124,54,7.6,36,3,alive
c,8,35,11,124,32,7.2,0,0.5,alive
c,1,60,10.9,124,25,9.5,27,2.5,alive
a,13,58,10.8,124,74,12.2,27,3,alive
c,12,46,10.8,124,50,11.2,23,1.5,alive
c,20,39,10.7,124,36,7.2,37,2,alive
c,12,37,10.6,124,40,5.5,10,1.5,alive
a,8,44,10.2,124,47,14.1,51,2,alive
c,8,58,10.2,124,31,11.2,28,2.5,alive
b,13,60,10,124,38.5,11.3,0,0.5,alive
a,1,39,9.6,124,41,8.2,7,0.5,alive
a,5,52,9.5,124,72,13.5,58,2,alive
b,8,40,9.3,124,40,19.4,0,0.5,alive
b,8,45,9.3,124,49,12.8,57,2,alive
c,17,58,9.2,124,64,13,70,2.5,alive
a,13,30,9.1,124,52,9.7,31,2.5,alive
c,10,36,9.1,124,27,4.3,22,3,alive
a,12,57,9,124,55,6.6,15,0.5,alive
c,13,50,8.8,124,46,11.4,20,2,alive
a,5,36,8.6,124,53,14,68,1.5,alive
c,17,42,8.5,124,90,12.3,38,3,alive
c,17,53,8.2,124,68,11.8,45,3,alive
b,7,50,8.1,124,0,0,0,0,dead
c,14,33,8,124,19.5,12.2,21,2,alive
a,8,44,7.8,124,44,10.7,47,2,alive
a,17,44,7.8,124,71,11.9,53,2.5,alive
c,19,42,7.8,124,26,4.6,0,0.5,alive
a,1,54,7.7,124,56,8.3,24,2,alive
b,13,54,7.7,124,56,10.2,35,2,alive
b,1,51,7.6,124,14.5,7.4,16,0.5,alive
b,8,40,7.6,124,43,9.6,0,0.5,alive
b,13,44,7.6,124,60,11.9,38,3,alive
c,1,53,7.6,124,62,10.1,17,2,alive
c,4,32,7.6,124,25,12.3,0,0.5,alive
a,8,34,7.5,124,47,14.6,63,3,alive
