treatment,rat,batch
control,8,1
control,6,2
control,12,3
control,11,4
control,7,5
control,5,6
control,10,7
control,9,8
control,13,9
caffeine,11,1
caffeine,10,2
caffeine,12,3
caffeine,13,4
caffeine,9,5
caffeine,6,6
caffeine,14,7
caffeine,10,8
caffeine,15,9
dexedrine,15,1
dexedrine,14,2
dexedrine,18,3
dexedrine,19,4
dexedrine,12,5
dexedrine,7,6
dexedrine,14,7
dexedrine,13,8
dexedrine,17,9
benzedrine,15,1
benzedrine,16,2
benzedrine,20,3
benzedrine,16,4
benzedrine,17,5
benzedrine,9,6
benzedrine,13,7
benzedrine,12,8
benzedrine,19,9
